0	  0  0  0  0  0  0  0		
6	  1  1  1  0  1  1  1	aa	Dad
5	  0  3  1  0  1  0  0	aa	HaDr
2	  1  1  0  0  0  0  0	aa	Ha\?g
6	  1  1  1  0  1  1  1	aa	Sad
19	  3  3  3  2  2  3  3	aa	Samt
6	  1  1  1  0  1  1  1	aa	Ta\?g
3	  3  0  0  0  0  0  0	aa	Tab
19	  3  3  3  2  2  3  3	aa	Tab\9e
1	  1  0  0  0  0  0  0	aa	Tabh
20	  0  3  3  5  3  3  3	aa	Tbabh
6	  1  1  1  0  1  1  1	aa	\D-a\?g
5	  1  1  1  0  1  1  0	aa	\dhal
3	  1  1  0  0  0  0  1	aa	\tfa\?g
20	  3  3  3  2  3  3  3	aa	alan
21	  3  3  3  3  3  3  3	aa	alfDa\?g
21	  3  3  3  3  3  3  3	aa	alnaSrh
21	  3  3  3  3  3  3  3	aa	anfSal
20	  3  3  3  2  3  3  3	aa	antSar
20	  3  3  3  2  3  3  3	aa	ant\D-am
1	  1  0  0  0  0  0  0	aa	at\9eab
20	  3  3  3  2  3  3  3	aa	awTan
18	  0  3  3  3  3  3  3	aa	baS
6	  1  1  1  0  1  1  1	aa	ba\?g
16	  3  0  2  2  3  3  3	aa	balTa\?grh
20	  3  3  3  2  3  3  3	aa	bsaTh
5	  1  1  0  0  1  1  1	aa	dal
21	  3  3  3  3  3  3  3	aa	fTam
21	  3  3  3  3  3  3  3	aa	faSl
5	  0  1  1  0  1  1  1	aa	fa\?g
6	  2  1  0  0  1  1  1	aa	ha\?g
20	  3  3  3  2  3  3  3	aa	ktab
7	  1  1  1  1  1  1  1	aa	lam
21	  1  3  3  5  3  3  3	aa	maD
3	  3  0  0  0  0  0  0	aa	maDn
3	  3  0  0  0  0  0  0	aa	maDr
17	  0  3  3  2  3  3  3	aa	maDy
20	  3  3  3  2  3  3  3	aa	mlabs
21	  3  4  3  2  3  3  3	aa	mna\D-r
8	  3  1  1  1  0  0  2	aa	msa\9edh
19	  2  3  3  2  3  3  3	aa	mtwaSl
21	  3  3  3  3  3  3  3	aa	mwaTn
19	  2  3  3  2  3  3  3	aa	mwa\D-bh
1	  1  0  0  0  0  0  0	aa	nDl
20	  3  3  3  2  3  3  3	aa	n\D-afh
17	  0  3  3  2  3  3  3	aa	naDj
5	  5  0  0  0  0  0  0	aa	naDl
3	  3  0  0  0  0  0  0	aa	naDr
1	  1  0  0  0  0  0  0	aa	njtryh
2	  2  0  0  0  0  0  0	aa	nmal
21	  3  3  3  3  3  3  3	aa	rDa\?g
3	  3  0  0  0  0  0  0	aa	rTanh
2	  2  0  0  0  0  0  0	aa	raTy
2	  0  1  1  0  0  0  0	aa	ra\?g
18	  2  3  3  1  3  3  3	aa	ratb
19	  2  3  3  3  3  3  2	aa	sTam
5	  1  1  0  0  1  1  1	aa	ta\?g
22	  3  3  3  4  3  3  3	aa	tab
19	  3  3  3  1  3  3  3	aa	tab\9e
13	  0  3  1  2  3  3  1	aa	wasTh
2	  1  0  1  0  0  0  0	aa	wsTy
2	  1  1  0  0  0  0  0	aa	xa\?g
3	  2  1  0  0  0  0  0	ii	S\9eyd
13	  1  1  2  1  3  3  2	ii	Sdyd
5	  1  1  1  0  1  1  0	ii	\shyn
3	  3  0  0  0  0  0  0	ii	awtwbys
19	  3  3  3  1  3  3  3	ii	fTyrh
1	  1  0  0  0  0  0  0	ii	hDym
1	  1  0  0  0  0  0  0	ii	h\D-ym
1	  1  0  0  0  0  0  0	ii	hw(hy)
21	  3  3  3  3  3  3  3	ii	hy
6	  1  1  1  0  1  1  1	ii	jym
17	  0  3  3  2  3  3  3	ii	jzyrh
22	  5  3  3  2  3  3  3	ii	mSyr
20	  3  2  3  3  3  3  3	ii	mTyh
3	  3  0  0  0  0  0  0	ii	mTyr
2	  0  0  2  0  0  0  0	ii	maD
15	  0  1  3  2  3  3  3	ii	maDy
16	  0  3  3  1  3  3  3	ii	mtwDy\?g
7	  1  1  1  1  1  1  1	ii	mym
4	  4  0  0  0  0  0  0	ii	nDyf
1	  1  0  0  0  0  0  0	ii	nDym
20	  3  3  3  2  3  3  3	ii	nSyb
20	  3  3  3  2  3  3  3	ii	n\D-yf
17	  0  3  3  2  3  3  3	ii	qDyb
3	  3  0  0  0  0  0  0	ii	rTyb
3	  3  0  0  0  0  0  0	ii	raTy
3	  3  0  0  0  0  0  0	ii	rtyb
3	  3  0  0  0  0  0  0	ii	s\9eyd
19	  3  2  3  3  3  3  2	ii	sdyd
2	  0  0  0  0  0  0  2	ii	syf
6	  1  1  1  0  1  1  1	ii	syn
4	  4  0  0  0  0  0  0	ii	thmymh
20	  3  3  3  2  3  3  3	ii	tlyfwn
2	  2  0  0  0  0  0  0	ii	wDy\?g
1	  1  0  0  0  0  0  0	ii	wDyh
1	  1  0  0  0  0  0  0	ii	w\D-y\?g
3	  3  0  0  0  0  0  0	ii	w\D-yf
21	  3  3  3  3  3  3  3	ii	w\D-yfh
1	  0  0  0  0  0  0  1	ii	wsTy
20	  3  3  3  2  3  3  3	ii	wsyTh
17	  0  3  3  2  3  3  3	ii	yTyr
4	  4  0  0  0  0  0  0	uu	Smwt
17	  0  3  3  2  3  3  3	uu	\shrwT
22	  3  3  3  3  3  3  4	uu	aSwl
1	  0  0  0  0  0  0  1	uu	awTan
6	  6  0  0  0  0  0  0	uu	awtwbys
21	  3  3  3  2  3  3  4	uu	fDwl
21	  4  3  3  2  3  3  3	uu	fTwr
17	  0  3  3  2  3  3  3	uu	ftwr
19	  2  3  3  2  3  3  3	uu	hw
3	  3  0  0  0  0  0  0	uu	mSwl
1	  1  0  0  0  0  0  0	uu	mh\D-wm
3	  0  0  3  0  0  0  0	uu	mtwDy\?g
7	  1  1  1  1  1  1  1	uu	nwn
21	  3  3  3  3  3  3  3	uu	sTwr
17	  0  3  3  2  3  3  3	uu	skwt
3	  3  0  0  0  0  0  0	uu	smwT
2	  2  0  0  0  0  0  0	uu	smwt
3	  3  0  0  0  0  0  0	uu	stwr
19	  2  3  3  2  3  3  3	uu	tlyfwn
17	  5  2  2  2  2  2  2	uu	wDw\?g
5	  0  1  1  0  1  1  1	uu	wDwh
21	  3  3  3  3  3  3  3	uu	zhwr
