19	  3  3  3  2  2  3  3	aa	Samt
19	  3  3  3  2  2  3  3	aa	Tab\9e
20	  3  3  3  2  3  3  3	aa	alan
21	  3  3  3  3  3  3  3	aa	alfDa\?g
21	  3  3  3  3  3  3  3	aa	alnaSrh
21	  3  3  3  3  3  3  3	aa	anfSal
20	  3  3  3  2  3  3  3	aa	antSar
20	  3  3  3  2  3  3  3	aa	ant\D-am
20	  3  3  3  2  3  3  3	aa	awTan
20	  3  3  3  2  3  3  3	aa	bsaTh
21	  3  3  3  3  3  3  3	aa	fTam
21	  3  3  3  3  3  3  3	aa	faSl
20	  3  3  3  2  3  3  3	aa	ktab
7	  1  1  1  1  1  1  1	aa	lam
21	  1  3  3  5  3  3  3	aa	maD
20	  3  3  3  2  3  3  3	aa	mlabs
21	  3  4  3  2  3  3  3	aa	mna\D-r
19	  2  3  3  2  3  3  3	aa	mtwaSl
21	  3  3  3  3  3  3  3	aa	mwaTn
19	  2  3  3  2  3  3  3	aa	mwa\D-bh
20	  3  3  3  2  3  3  3	aa	n\D-afh
21	  3  3  3  3  3  3  3	aa	rDa\?g
18	  2  3  3  1  3  3  3	aa	ratb
19	  2  3  3  3  3  3  2	aa	sTam
22	  3  3  3  4  3  3  3	aa	tab
19	  3  3  3  1  3  3  3	aa	tab\9e
13	  1  1  2  1  3  3  2	ii	Sdyd
19	  3  3  3  1  3  3  3	ii	fTyrh
21	  3  3  3  3  3  3  3	ii	hy
22	  5  3  3  2  3  3  3	ii	mSyr
20	  3  2  3  3  3  3  3	ii	mTyh
7	  1  1  1  1  1  1  1	ii	mym
20	  3  3  3  2  3  3  3	ii	nSyb
20	  3  3  3  2  3  3  3	ii	n\D-yf
19	  3  2  3  3  3  3  2	ii	sdyd
20	  3  3  3  2  3  3  3	ii	tlyfwn
21	  3  3  3  3  3  3  3	ii	w\D-yfh
20	  3  3  3  2  3  3  3	ii	wsyTh
22	  3  3  3  3  3  3  4	uu	aSwl
21	  3  3  3  2  3  3  4	uu	fDwl
21	  4  3  3  2  3  3  3	uu	fTwr
19	  2  3  3  2  3  3  3	uu	hw
7	  1  1  1  1  1  1  1	uu	nwn
21	  3  3  3  3  3  3  3	uu	sTwr
19	  2  3  3  2  3  3  3	uu	tlyfwn
17	  5  2  2  2  2  2  2	uu	wDw\?g
21	  3  3  3  3  3  3  3	uu	zhwr
