0	  0  0  0  0  0  0  0		
7	  1  1  1  1  1  1  1	D	Dad
17	  0  3  3  3  2  3  3	D	HaDr
23	  4  3  3  3  3  4  3	D	alfDa\?g
20	  3  3  3  2  3  3  3	D	fDwl
1	  1  0  0  0  0  0  0	D	hDym
21	  1  2  3  4  4  3  4	D	maD
4	  4  0  0  0  0  0  0	D	maDn
3	  3  0  0  0  0  0  0	D	maDr
17	  0  3  3  2  3  3  3	D	maDy
21	  0  3  3  3  4  4  4	D	mtwDy\?g
1	  1  0  0  0  0  0  0	D	nDl
2	  2  0  0  0  0  0  0	D	nDrh
4	  4  0  0  0  0  0  0	D	nDyf
1	  1  0  0  0  0  0  0	D	nDym
18	  0  3  3  2  3  4  3	D	naDj
5	  5  0  0  0  0  0  0	D	naDl
4	  4  0  0  0  0  0  0	D	naDr
19	  0  3  3  2  3  4  4	D	qDyb
23	  4  3  3  3  3  3  4	D	rDa\?g
17	  3  2  2  2  2  3  3	D	wDw\?g
8	  0  1  1  0  2  2  2	D	wDwh
2	  2  0  0  0  0  0  0	D	wDy\?g
1	  1  0  0  0  0  0  0	D	wDyh
1	  0  0  1  0  0  0  0	D	w\D-yfh
17	  3  3  3  3  0  3  2	S	S\9eyd
7	  1  1  1  1  1  1  1	S	Sad
21	  3  3  3  3  3  3  3	S	Samt
3	  3  0  0  0  0  0  0	S	SbHh
23	  3  3  3  5  2  3  4	S	Sdf
20	  3  3  3  2  3  3  3	S	Sdyd
19	  3  3  3  1  3  3  3	S	Smt
4	  4  0  0  0  0  0  0	S	Smwt
20	  3  3  3  2  3  3  3	S	Syf
21	  3  3  3  3  3  3  3	S	aSwl
21	  3  3  3  3  3  3  3	S	alnaSrh
21	  3  3  3  3  3  3  3	S	anfSal
20	  3  3  3  2  3  3  3	S	antSar
18	  0  3  3  3  3  3  3	S	baS
20	  3  3  3  2  3  3  3	S	brS
21	  3  3  3  3  3  3  3	S	faSl
11	  3  1  1  0  0  3  3	S	mS\9ed
3	  3  0  0  0  0  0  0	S	mSwl
22	  5  3  3  2  3  3  3	S	mSyr
3	  3  0  0  0  0  0  0	S	m\9eSm
20	  3  3  3  2  3  3  3	S	mtwaSl
20	  3  3  3  2  3  3  3	S	nSyb
7	  1  1  1  1  1  1  1	T	Ta\?g
3	  3  0  0  0  0  0  0	T	Tab
19	  3  3  3  2  2  3  3	T	Tab\9e
1	  1  0  0  0  0  0  0	T	Tabh
18	  0  1  3  5  3  3  3	T	Tbabh
19	  2  3  2  3  3  3  3	T	Tl\9eh
16	  0  3  3  1  3  3  3	T	\shrwT
20	  3  3  3  2  3  3  3	T	awTan
20	  3  3  3  2  3  3  3	T	balTa\?grh
20	  3  3  3  2  3  3  3	T	bsaTh
20	  3  3  3  3  2  3  3	T	fTam
21	  4  3  3  2  3  3  3	T	fTwr
19	  3  3  3  1  3  3  3	T	fTyrh
8	  3  1  0  0  0  2  2	T	mT\9em
21	  3  3  3  3  3  3  3	T	mTyh
3	  3  0  0  0  0  0  0	T	mTyr
3	  3  0  0  0  0  0  0	T	mnTr
12	  3  1  1  1  0  3  3	T	msTrh
21	  3  3  3  3  3  3  3	T	mwaTn
3	  3  0  0  0  0  0  0	T	rTanh
17	  1  1  3  2  3  4  3	T	rTb
3	  3  0  0  0  0  0  0	T	rTyb
3	  3  0  0  0  0  0  0	T	raTy
21	  3  3  3  3  3  3  3	T	sTam
21	  3  3  3  3  3  3  3	T	sTwr
21	  3  3  4  2  3  3  3	T	slTh
3	  3  0  0  0  0  0  0	T	smwT
13	  0  3  0  2  3  3  2	T	wasTh
5	  1  1  1  0  0  1  1	T	wsTh
7	  2  1  1  0  0  2  1	T	wsTy
20	  3  3  3  2  3  3  3	T	wsyTh
1	  1  0  0  0  0  0  0	T	xTm
17	  0  3  3  2  3  3  3	T	yTyr
9	  1  1  1  1  2  1  2	\D-	\D-a\?g
22	  3  4  3  2  3  3  4	\D-	ant\D-am
1	  1  0  0  0  0  0  0	\D-	h\D-ym
1	  1  0  0  0  0  0  0	\D-	mh\D-wm
21	  3  4  3  2  3  3  3	\D-	mna\D-r
22	  3  3  3  2  3  3  5	\D-	mwa\D-bh
20	  3  3  3  2  3  3  3	\D-	n\D-afh
