abu	aa	44.103	seg0	44.103	44.121	487	1149	2619
abu	aa	44.103	seg1	44.121	44.157	550	1133	2572
abu	aa	44.103	seg2	44.139	44.194	577	1177	2547
abu	aa	44.103	seg3	44.157	44.230	562	1235	2574
abu	aa	44.103	seg4	44.176	44.266	531	1307	2631
abu	aa	44.103	seg5	44.194	44.303	484	1395	2624
abu	aa	44.103	seg6	44.212	44.339	427	1463	2501
abu	aa	44.103	seg7	44.230	44.375	389	1529	2471
abu	aa	44.103	seg8	44.248	44.411	369	1559	2433
abu	aa	44.103	seg9	44.266	44.284	456	1459	2707
abu	aa	48.498	seg0	48.498	48.518	488	1469	2516
abu	aa	48.498	seg1	48.518	48.560	501	1452	2598
abu	aa	48.498	seg2	48.539	48.601	488	1441	2641
abu	aa	48.498	seg3	48.560	48.643	491	1429	2666
abu	aa	48.498	seg4	48.580	48.684	489	1446	2693
abu	aa	48.498	seg5	48.601	48.725	459	1477	2701
abu	aa	48.498	seg6	48.622	48.767	417	1531	2575
abu	aa	48.498	seg7	48.643	48.808	393	1562	2568
abu	aa	48.498	seg8	48.663	48.850	374	1579	2543
abu	aa	48.498	seg9	48.684	48.705	441	1516	2742
abu	aa	53.453	seg0	53.453	53.464	422	1396	2453
abu	aa	53.453	seg1	53.464	53.486	520	1386	2803
abu	aa	53.453	seg2	53.475	53.508	549	1369	2769
abu	aa	53.453	seg3	53.486	53.530	544	1339	2736
abu	aa	53.453	seg4	53.497	53.551	545	1320	2714
abu	aa	53.453	seg5	53.508	53.573	509	1309	2713
abu	aa	53.453	seg6	53.519	53.595	444	1298	2715
abu	aa	53.453	seg7	53.530	53.617	387	1317	2696
abu	aa	53.453	seg8	53.541	53.639	333	1397	2679
abu	aa	53.453	seg9	53.551	53.562	481	1289	2733
abu	aa	57.170	seg0	57.170	57.185	439	1027	2385
abu	aa	57.170	seg1	57.185	57.216	474	1054	2394
abu	aa	57.170	seg2	57.201	57.248	504	1088	2400
abu	aa	57.170	seg3	57.216	57.279	518	1129	2393
abu	aa	57.170	seg4	57.232	57.310	520	1166	2388
abu	aa	57.170	seg5	57.248	57.341	483	1172	2345
abu	aa	57.170	seg6	57.263	57.372	506	1389	2468
abu	aa	57.170	seg7	57.279	57.403	605	1598	2591
abu	aa	57.170	seg8	57.294	57.435	616	1659	2622
abu	aa	57.170	seg9	57.310	57.325	440	1152	2433
abu	uu	59.064	seg0	59.064	59.081	348	877	2462
abu	uu	59.064	seg1	59.081	59.116	343	876	2367
abu	uu	59.064	seg2	59.099	59.151	348	880	2384
abu	uu	59.064	seg3	59.116	59.186	357	916	2369
abu	uu	59.064	seg4	59.134	59.221	363	1003	2342
abu	uu	59.064	seg5	59.151	59.256	356	1145	2348
abu	uu	59.064	seg6	59.169	59.291	427	1382	2337
abu	uu	59.064	seg7	59.186	59.326	490	1587	2454
abu	uu	59.064	seg8	59.204	59.361	508	1666	2476
abu	uu	59.064	seg9	59.221	59.239	369	1281	2370
abu	aa	62.760	seg0	62.760	62.777	424	1268	2320
abu	aa	62.760	seg1	62.777	62.809	484	1247	2338
abu	aa	62.760	seg2	62.793	62.842	508	1229	2338
abu	aa	62.760	seg3	62.809	62.874	514	1248	2340
abu	aa	62.760	seg4	62.825	62.906	507	1291	2356
abu	aa	62.760	seg5	62.842	62.939	483	1329	2364
abu	aa	62.760	seg6	62.858	62.971	437	1335	2437
abu	aa	62.760	seg7	62.874	63.004	406	1339	2474
abu	aa	62.760	seg8	62.890	63.036	391	1341	2489
abu	aa	62.760	seg9	62.906	62.923	454	1391	2372
abu	aa	64.464	seg0	64.464	64.480	449	1171	2431
abu	aa	64.464	seg1	64.480	64.510	495	1183	2506
abu	aa	64.464	seg2	64.495	64.541	508	1230	2624
abu	aa	64.464	seg3	64.510	64.572	506	1248	2712
abu	aa	64.464	seg4	64.526	64.603	498	1235	2663
abu	aa	64.464	seg5	64.541	64.633	476	1210	2502
abu	aa	64.464	seg6	64.556	64.664	443	1273	2428
abu	aa	64.464	seg7	64.572	64.695	404	1331	2405
abu	aa	64.464	seg8	64.587	64.726	391	1344	2352
abu	aa	64.464	seg9	64.603	64.618	450	1162	2239
abu	uu	65.957	seg0	65.957	65.972	376	897	2524
abu	uu	65.957	seg1	65.972	66.004	385	902	2548
abu	uu	65.957	seg2	65.988	66.035	387	902	2563
abu	uu	65.957	seg3	66.004	66.066	394	885	2559
abu	uu	65.957	seg4	66.019	66.097	389	961	2539
abu	uu	65.957	seg5	66.035	66.128	373	1107	2487
abu	uu	65.957	seg6	66.050	66.159	343	1289	2439
abu	uu	65.957	seg7	66.066	66.191	320	1436	2433
abu	uu	65.957	seg8	66.081	66.222	312	1497	2424
abu	uu	65.957	seg9	66.097	66.113	363	1278	2478
abu	aa	67.624	seg0	67.624	67.632	357	1414	2477
abu	aa	67.624	seg1	67.632	67.650	422	1428	2596
abu	aa	67.624	seg2	67.641	67.667	458	1449	2408
abu	aa	67.624	seg3	67.650	67.684	480	1445	2339
abu	aa	67.624	seg4	67.658	67.702	500	1430	2331
abu	aa	67.624	seg5	67.667	67.719	520	1413	2349
abu	aa	67.624	seg6	67.676	67.736	548	1403	2348
abu	aa	67.624	seg7	67.684	67.754	578	1392	2317
abu	aa	67.624	seg8	67.693	67.771	595	1377	2287
abu	aa	67.624	seg9	67.702	67.710	542	1401	2353
abu	uu	70.714	seg0	70.714	70.720	409	1249	2457
abu	uu	70.714	seg1	70.720	70.733	370	1292	2465
abu	uu	70.714	seg2	70.726	70.745	359	1331	2475
