alotaiq+anfSal+65.873+S	6815	2014	1.223	2.475	5285	2449	-0.442	1.167 39.50	649.00	32.00	1227.33	20.00	2797.67	-27.40	662.00	-17.20	1241.00	37.10	2734.25	-4.50	618.00	1.50	1215.00	17.50	2813.33
alotaiq+antSar+253.991+S	6889	2125	1.362	2.672	5096	2653	-0.374	0.724 28.00	630.33	-10.00	1205.67	-25.00	2735.00	22.90	671.75	104.60	1297.50	55.50	2769.75	-46.50	702.33	-179.50	1452.67	-32.00	2870.33
alotaiq+antSar+353.013+S	7594	2379	0.750	1.074	4970	3212	-0.098	-0.413 37.50	622.67	15.50	1179.67	-4.50	2795.67	-7.70	672.25	43.50	1236.75	19.60	2791.00	-30.50	677.67	-174.50	1456.33	-30.00	2875.33
alotaiq+antSar+57.322+S	7032	1871	1.082	2.492	5717	2353	-0.633	1.523 51.50	670.67	17.00	1224.33	24.00	2874.67	-4.20	743.00	25.00	1298.00	5.00	2906.50	-36.00	752.00	-56.00	1381.67	-41.50	2911.33
alotaiq+Sad+506.994+S	7069	2517	1.342	3.287	2944	3211	0.677	-0.308 19.00	670.67	13.50	1236.33	13.50	2945.00	-8.00	672.00	102.60	1422.50	8.30	2980.75	-67.00	639.67	-37.50	1698.00	-52.00	3031.00
alotaiq+Samt+140.380+S	7331	1646	1.929	9.156	5042	3207	-0.549	-0.727 41.50	675.00	13.00	1271.33	-41.50	2767.67	-34.80	681.50	36.30	1301.25	-45.50	2653.75	31.00	539.00	-91.00	1342.67	-35.50	2508.33
alotaiq+Samt+274.418+S	7339	2422	1.783	5.943	3870	3400	0.242	-0.609 47.50	627.33	-12.00	1225.67	-21.00	2727.00	-39.50	617.25	23.80	1236.00	-37.80	2677.50	47.00	509.00	-46.00	1283.67	-3.00	2575.33
alotaiq+Samt+336.023+S	6813	2466	2.064	4.789	4887	2694	-0.153	1.574 42.50	664.33	17.00	1189.33	65.00	2910.00	-73.90	595.25	6.50	1227.25	-96.40	2898.00	54.00	459.00	-11.50	1250.00	40.50	2656.33
mohammed+anfSal+103.611+S	8907	2159	-0.002	-0.297	7647	2558	-0.434	0.896 45.50	613.67	3.50	1258.33	-360.50	2302.67	-42.50	621.25	-7.80	1252.00	113.70	2173.75	38.00	506.67	27.50	1268.00	-229.50	2592.33
mohammed+anfSal+378.245+S	9056	2479	0.186	-0.458	7290	3041	-0.365	0.519 48.00	609.67	-19.50	1177.67	-46.00	2583.00	-33.50	630.25	1.70	1140.25	-7.00	2543.00	53.00	522.33	46.50	1145.67	-22.00	2608.00
mohammed+anfSal+563.999+S	9259	2124	-0.260	0.128	7877	2776	-0.641	0.653 48.50	654.00	-38.00	1265.00	-48.00	2669.00	-50.30	640.75	37.00	1277.00	-16.10	2596.25	14.00	506.33	-10.50	1340.33	-229.50	2413.67
mohammed+antSar+427.555+S	8921	1838	0.508	1.739	7885	2449	-1.038	2.652 65.50	668.00	10.50	1160.00	90.50	2919.67	-37.80	658.00	-16.80	1091.50	-119.30	2884.25	-9.00	582.00	17.50	1037.00	2.50	2562.00
mohammed+antSar+68.623+S	8099	2190	0.781	-0.270	7201	1933	0.794	2.166 30.00	629.67	-55.50	1165.67	116.00	2957.67	-17.30	657.75	39.80	1155.50	-66.00	3051.50	-7.00	575.33	-50.00	1231.33	127.00	2785.67
mohammed+Samt+232.504+S	9190	2445	0.045	-0.100	7439	3040	-0.358	0.335 109.50	649.00	21.00	1087.33	-19.50	2810.33	-72.60	741.00	4.40	1169.50	-104.00	2568.50	109.50	556.00	-46.00	1196.33	-67.50	2269.00
mohammed+Samt+486.185+S	9866	2301	-0.268	0.496	8478	2833	-0.411	0.194 88.50	726.67	46.50	1065.33	87.00	2836.67	-71.60	758.50	17.50	1200.25	-134.70	2859.75	58.00	541.00	-7.00	1236.67	43.50	2462.00
naif1+anfSal+216.213+S	8372	3020	0.687	-0.277	5474	3449	0.148	0.104 33.00	543.33	31.00	1138.67	-118.00	2538.00	-17.80	560.50	29.40	1176.00	21.50	2350.25	39.00	505.33	-7.00	1266.00	-8.00	2424.33
naif1+anfSal+328.688+S	9196	3391	0.356	-0.637	5151	4027	0.396	-0.353 37.00	559.67	27.00	1066.33	-41.50	2633.33	-26.40	580.50	29.00	1154.50	5.40	2518.00	54.00	498.67	23.50	1221.00	2.00	2545.67
naif1+anfSal+45.178+S	8178	2601	0.733	-0.126	6051	3088	-0.185	0.476 31.00	538.33	31.50	1092.33	-74.00	2522.00	-35.60	537.50	24.60	1185.50	9.20	2431.00	72.50	441.33	23.50	1213.33	-40.50	2472.00
naif1+antSar+244.056+S	8138	3184	0.752	0.117	5291	3258	0.389	0.616 53.00	543.00	43.50	1096.33	-29.00	2644.67	1.60	589.50	34.70	1131.75	28.50	2660.25	-30.00	602.33	-94.00	1223.00	-48.50	2719.00
naif1+antSar+36.483+S	7437	2676	1.191	1.675	5018	3010	0.064	0.502 22.50	528.33	3.50	1079.33	-51.00	2547.00	2.50	573.25	-12.20	1050.00	28.40	2531.00	-3.00	589.33	-87.50	1226.67	-26.00	2594.33
naif1+antSar+398.650+S	6783	2772	1.678	2.545	4998	2449	0.352	3.213 37.50	538.33	39.50	1049.33	-101.00	2473.33	-3.70	583.25	-5.70	1057.75	-14.00	2391.50	-18.00	603.00	-84.50	1117.33	-22.00	2346.00
