abu+t+ratb+94.715	8018	3143	1.227	1.745	2632	3495	1.114	0.653
abu+t+ratb+433.196	9953	3465	0.300	-0.190	6019	4281	0.293	-0.482
alohali+t+ratb+75.943	7487	2409	1.860	5.928	5142	3112	-0.165	0.232
alohali+t+ratb+375.986	7111	2853	1.665	4.871	2914	3164	0.865	0.382
alohali+t+ratb+616.504	7328	4541	0.979	0.572	1316	2356	2.974	11.709
alotaiq+t+ratb+58.855	7937	3251	0.402	1.044	1614	2835	2.079	3.902
alotaiq+t+ratb+232.058	7678	4158	1.367	2.504	687	1845	4.303	23.435
alotaiq+t+ratb+329.104	11235	6508	0.002	-1.230	284	1288	10.542	130.068
mohammed+t+ratb+71.619	7657	2496	0.776	1.040	5508	2931	-0.064	0.311
mohammed+t+ratb+368.859	7535	2130	0.859	1.921	6213	2357	-0.234	1.550
naif1+t+ratb+38.265	6910	2810	1.351	4.513	657	1799	3.459	13.170
naif1+t+ratb+212.792	7083	3424	0.900	1.195	1633	2609	1.973	4.307
naif1+t+ratb+363.651	6364	2444	1.740	5.336	1684	2576	1.437	1.515
naif2+t+ratb+30.658	7409	2849	1.105	1.624	2987	3301	0.815	0.054
naif2+t+ratb+180.798	6790	2728	1.216	2.548	3449	3010	0.528	0.111
naif2+t+ratb+305.169	6528	2823	1.447	3.090	1957	2711	1.323	1.574
saud+t+ratb+28.958	8609	3393	0.727	1.397	3865	3802	0.820	0.119
saud+t+ratb+230.636	9688	3179	0.190	0.452	5068	4359	0.407	-0.810
saud+t+ratb+388.835	9157	3238	0.248	0.705	2933	3919	1.182	0.363
abu+t+tab+92.167	8470	3291	0.997	1.827	3299	3757	0.928	0.288
abu+t+tab\9e+334.055	8032	4000	0.852	0.846	649	1925	4.115	20.200
abu+t+tab+425.579	6868	4504	1.489	1.919	807	1893	3.723	20.321
abu+t+tab\9e+442.607	7022	3965	0.613	0.791	971	2091	3.275	12.530
abu+t+tab\9e+589.522	8568	3567	0.408	0.510	1117	2584	2.848	8.346
abu+t+tab+637.103	8439	3557	0.685	1.371	825	2293	3.397	12.323
alohali+t+tab+105.620	6946	3567	1.430	2.538	915	2072	2.988	11.158
alohali+t+tab\9e+152.989	7051	4096	0.915	1.143	1049	2113	3.197	12.934
alohali+t+tab+398.076	8098	3960	0.878	0.925	1490	2754	2.395	6.649
alohali+t+tab\9e+435.213	6795	3625	1.974	4.642	761	1876	3.430	15.597
alohali+t+tab+570.522	6290	2713	1.889	5.495	2409	2782	0.968	0.756
alohali+t+tab\9e+687.462	7357	5358	1.137	0.536	965	1981	4.225	25.979
alotaiq+t+tab+70.836	7301	4118	1.220	2.093	1389	2450	2.631	9.108
alotaiq+t+tab\9e+91.966	12484	6264	-0.344	-1.132	261	1370	10.364	122.603
alotaiq+t+tab+242.244	8854	5210	0.686	-0.183	246	1084	9.395	113.142
alotaiq+t+tab\9e+257.159	11198	6672	-0.036	-1.340	339	1450	9.324	102.258
alotaiq+t+tab+310.184	11183	6238	0.149	-1.191	267	1369	9.517	108.732
alotaiq+t+tab\9e+355.091	13785	5982	-0.407	-1.029	780	2735	5.288	29.982
mohammed+t+tab+113.967	7765	2815	1.109	1.779	4098	3513	0.377	-0.416
mohammed+t+tab\9e+150.221	7306	3407	0.363	0.729	2441	2940	1.529	2.013
mohammed+t+tab+398.219	7404	2603	1.187	1.497	6022	2225	0.763	3.130
mohammed+t+tab+399.905	7315	2236	0.908	1.494	5753	2500	-0.204	1.239
mohammed+t+tab\9e+436.071	7668	2558	0.895	1.538	5331	3035	-0.005	0.145
mohammed+t+tab+575.525	7547	2170	1.037	2.301	5865	2709	-0.420	0.865
naif1+t+tab+52.436	6520	3797	1.084	1.732	378	1291	5.239	36.508
naif1+t+tab\9e+79.543	8385	4525	0.557	0.321	621	1813	4.861	28.611
naif1+t+tab+227.310	6849	4458	1.128	1.058	450	1410	5.259	38.886
naif1+t+tab\9e+249.192	5858	4440	1.593	2.329	231	932	7.375	84.597
naif1+t+tab+335.682	6943	3457	1.752	3.874	774	1985	3.183	12.636
naif1+t+tab\9e+401.342	6893	5590	1.131	0.289	79	509	17.730	465.209
naif2+t+tab+43.060	7277	3759	1.259	2.303	444	1537	4.790	28.893
naif2+t+tab\9e+65.683	7140	4463	1.341	1.467	866	1968	3.588	18.516
naif2+t+tab+191.622	7015	4260	1.373	2.021	794	1895	3.729	19.102
naif2+t+tab\9e+209.663	2299	3674	2.577	7.487	180	296	20.712	762.171
naif2+t+tab+281.214	6292	3672	1.379	3.526	712	1704	3.677	17.838
naif2+t+tab\9e+338.537	7514	4418	1.176	1.220	861	2068	3.592	17.259
naif2+t+tab\9e+338.572	4696	3797	1.569	4.262	211	550	11.523	190.855
saud+t+tab+45.852	8248	3662	0.600	1.270	1326	2682	2.567	6.915
saud+t+tab\9e+71.910	8166	4336	1.149	1.243	1302	2659	2.725	9.352
saud+t+tab+247.093	8053	4192	0.841	0.859	1443	2643	2.649	8.370
saud+t+tab\9e+271.066	7547	3882	0.867	1.059	1623	2660	2.245	6.055
saud+t+tab+361.240	8072	4088	0.869	0.182	2145	3123	1.795	3.840
saud+t+tab\9e+425.602	6863	3570	1.187	1.611	2991	2849	1.238	2.539
abu+t+tlyfwn+205.120	7516	3718	0.589	0.613	2888	3011	1.465	2.465
abu+t+tlyfwn+528.111	5820	2801	1.404	4.708	135	655	9.256	106.059
abu+t+tlyfwn+647.349	6907	4207	0.218	0.056	227	975	8.416	84.021
alohali+t+tlyfwn+108.705	8836	3674	0.601	0.804	1997	3328	1.868	3.179
alohali+t+tlyfwn+360.215	6926	5351	1.116	0.417	384	1183	7.213	76.761
alohali+t+tlyfwn+732.941	6578	3937	1.462	2.456	1410	2298	2.398	8.499
alotaiq+t+tlyfwn+382.689	6925	4088	1.811	3.332	948	2072	3.172	14.358
mohammed+t+tlyfwn+116.618	9382	3251	0.119	0.155	4572	4203	0.580	-0.670
mohammed+t+tlyfwn+350.939	8169	2832	0.669	0.405	5234	3422	0.122	-0.189
naif1+t+tlyfwn+54.267	7626	6129	0.848	-0.437	92	566	18.280	465.148
naif1+t+tlyfwn+202.121	8520	6163	0.559	-0.869	144	837	13.027	224.667
naif1+t+tlyfwn+426.934	9541	6640	0.410	-1.185	124	830	14.625	276.363
naif2+t+tlyfwn+44.566	8712	5436	0.882	-0.178	413	1556	6.374	53.895
naif2+t+tlyfwn+172.206	6382	4375	1.428	2.210	888	1836	3.618	19.436
naif2+t+tlyfwn+360.943	6779	3113	1.885	5.312	2069	2826	1.376	2.212
saud+t+tlyfwn+48.567	9570	5123	0.430	-0.588	428	1680	6.174	46.523
saud+t+tlyfwn+218.245	8826	5005	0.677	-0.170	1827	2992	2.611	8.622
saud+t+tlyfwn+450.657	8695	3578	0.972	1.335	3729	3862	0.866	0.460
