
By speaker
t: -3.359, p:  0.003, dt: 27/11/2010-11:40:26, F1: alohali - jzyrh - ii plain, N1 = 12, N2 = 12
t:  2.468, p:  0.024, dt: 27/11/2010-11:40:26, F1: alohali - sdyd - ii plain, N1 = 12, N2 = 8
t: -2.051, p:  0.052, dt: 27/11/2010-11:40:26, F1: alohali - tlyfwn - ii plain, N1 = 12, N2 = 12
t: -3.208, p:  0.004, dt: 27/11/2010-11:40:26, F2: alohali - hy - ii plain, N1 = 12, N2 = 16
t:  1.385, p:  0.180, dt: 27/11/2010-11:40:26, F2: alohali - jzyrh - ii plain, N1 = 12, N2 = 12
t: -1.708, p:  0.105, dt: 27/11/2010-11:40:26, F2: alohali - sdyd - ii plain, N1 = 12, N2 = 8
t:  2.661, p:  0.014, dt: 27/11/2010-11:40:26, F2: alohali - tlyfwn - ii plain, N1 = 12, N2 = 12
t: -2.947, p:  0.007, dt: 27/11/2010-11:40:26, F3: alohali - hy - ii plain, N1 = 12, N2 = 16
t:  1.702, p:  0.103, dt: 27/11/2010-11:40:26, F3: alohali - jzyrh - ii plain, N1 = 12, N2 = 12
t: -0.888, p:  0.386, dt: 27/11/2010-11:40:26, F3: alohali - sdyd - ii plain, N1 = 12, N2 = 8
t:  3.509, p:  0.002, dt: 27/11/2010-11:40:26, F3: alohali - tlyfwn - ii plain, N1 = 12, N2 = 12
t:  0.931, p:  0.361, dt: 27/11/2010-11:40:26, F1: alohali - ftwr - uu plain, N1 = 15, N2 = 12
t: -0.209, p:  0.836, dt: 27/11/2010-11:40:26, F1: alohali - hw - uu plain, N1 = 15, N2 = 24
t:  3.240, p:  0.003, dt: 27/11/2010-11:40:26, F1: alohali - skwt - uu plain, N1 = 15, N2 = 12
t: -2.615, p:  0.015, dt: 27/11/2010-11:40:26, F1: alohali - tlyfwn - uu plain, N1 = 15, N2 = 12
t: -0.550, p:  0.587, dt: 27/11/2010-11:40:26, F1: alohali - zhwr - uu plain, N1 = 15, N2 = 12
t: -0.417, p:  0.680, dt: 27/11/2010-11:40:26, F2: alohali - ftwr - uu plain, N1 = 15, N2 = 12
t:  3.215, p:  0.003, dt: 27/11/2010-11:40:26, F2: alohali - hw - uu plain, N1 = 15, N2 = 24
t: -1.973, p:  0.060, dt: 27/11/2010-11:40:26, F2: alohali - skwt - uu plain, N1 = 15, N2 = 12
t: -2.630, p:  0.014, dt: 27/11/2010-11:40:26, F2: alohali - tlyfwn - uu plain, N1 = 15, N2 = 12
