abu+t+ktab+290.745	7871	3542	0.993	1.254	2701	3310	1.274	1.577
abu+t+ktab+537.393	8902	3178	0.800	2.025	763	2318	3.492	12.455
abu+t+ktab+577.764	8424	3298	0.751	1.646	2021	3298	1.681	2.238
alohali+t+ktab+287.687	8834	4400	0.741	0.438	1589	2951	2.569	7.537
alohali+t+ktab+357.661	8977	3728	0.520	-0.183	3261	3868	1.131	0.731
alohali+t+ktab+712.563	6519	3500	1.405	3.601	2116	2535	1.743	4.411
alotaiq+t+ktab+192.344	8262	6435	0.492	-0.871	404	1293	8.802	98.301
alotaiq+t+ktab+224.009	8556	3533	1.237	3.358	631	2031	4.045	18.512
alotaiq+t+ktab+364.043	9890	7129	0.200	-1.286	739	1945	6.778	53.988
mohammed+t+ktab+270.186	7989	2856	0.774	0.688	5998	2783	0.394	1.202
mohammed+t+ktab+347.910	7728	2432	0.728	1.666	5118	3213	-0.054	-0.383
naif1+t+ktab+157.434	6912	2888	0.897	3.074	993	2205	2.576	6.798
naif1+t+ktab+200.386	7307	3334	0.694	1.162	2717	2985	1.322	1.681
naif1+t+ktab+414.914	6747	2710	1.324	2.251	3803	2938	0.367	0.297
naif2+t+ktab+133.634	7231	3224	0.762	1.995	1870	2798	1.728	2.846
naif2+t+ktab+170.869	8191	2965	0.455	0.234	5273	3318	0.298	-0.033
naif2+t+ktab+350.158	7516	2522	0.827	5.098	2051	3096	1.390	0.850
saud+t+ktab+156.879	7805	2974	1.017	3.168	2452	3324	1.251	0.790
saud+t+ktab+216.300	8994	2937	0.730	1.806	4427	4113	0.455	-0.741
saud+t+ktab+437.494	8849	3095	0.003	0.531	4290	3935	0.607	-0.647
