7	  1  1  1  1  1  1  1	D	Dad
23	  4  3  3  3  3  4  3	D	alfDa\?g
20	  3  3  3  2  3  3  3	D	fDwl
21	  1  2  3  4  4  3  4	D	maD
23	  4  3  3  3  3  3  4	D	rDa\?g
17	  3  2  2  2  2  3  3	D	wDw\?g
7	  1  1  1  1  1  1  1	S	Sad
21	  3  3  3  3  3  3  3	S	Samt
23	  3  3  3  5  2  3  4	S	Sdf
20	  3  3  3  2  3  3  3	S	Sdyd
19	  3  3  3  1  3  3  3	S	Smt
20	  3  3  3  2  3  3  3	S	Syf
21	  3  3  3  3  3  3  3	S	aSwl
21	  3  3  3  3  3  3  3	S	alnaSrh
21	  3  3  3  3  3  3  3	S	anfSal
20	  3  3  3  2  3  3  3	S	antSar
20	  3  3  3  2  3  3  3	S	brS
21	  3  3  3  3  3  3  3	S	faSl
22	  5  3  3  2  3  3  3	S	mSyr
20	  3  3  3  2  3  3  3	S	mtwaSl
20	  3  3  3  2  3  3  3	S	nSyb
7	  1  1  1  1  1  1  1	T	Ta\?g
19	  3  3  3  2  2  3  3	T	Tab\9e
19	  2  3  2  3  3  3  3	T	Tl\9eh
20	  3  3  3  2  3  3  3	T	awTan
20	  3  3  3  2  3  3  3	T	balTa\?grh
20	  3  3  3  2  3  3  3	T	bsaTh
20	  3  3  3  3  2  3  3	T	fTam
21	  4  3  3  2  3  3  3	T	fTwr
19	  3  3  3  1  3  3  3	T	fTyrh
21	  3  3  3  3  3  3  3	T	mTyh
21	  3  3  3  3  3  3  3	T	mwaTn
17	  1  1  3  2  3  4  3	T	rTb
21	  3  3  3  3  3  3  3	T	sTam
21	  3  3  3  3  3  3  3	T	sTwr
21	  3  3  4  2  3  3  3	T	slTh
20	  3  3  3  2  3  3  3	T	wsyTh
9	  1  1  1  1  2  1  2	\D-	\D-a\?g
22	  3  4  3  2  3  3  4	\D-	ant\D-am
21	  3  4  3  2  3  3  3	\D-	mna\D-r
22	  3  3  3  2  3  3  5	\D-	mwa\D-bh
20	  3  3  3  2  3  3  3	\D-	n\D-afh
20	  3  3  3  2  3  3  3	\D-	n\D-yf
22	  3  3  2  3  3  3  5	\D-	w\D-yfh
9	  1  1  1  1  2  1  2	\dh	\dhal
21	  3  1  3  4  3  3  4	d	Sdf
41	  8  6  6  4  6  6  5	d	Sdyd
7	  1  1  1  1  1  1  1	d	dal
42	  8  6  6  6  6  6  4	d	sdyd
20	  3  3  3  2  3  3  3	s	bsaTh
21	  3  3  3  3  3  3  3	s	jrs
20	  3  3  3  2  3  3  3	s	mlabs
19	  2  3  3  3  3  2  3	s	sTam
17	  3  2  3  3  2  2  2	s	sTwr
21	  3  3  3  3  3  3  3	s	sdyd
21	  3  3  4  2  3  3  3	s	slTh
21	  3  3  3  3  3  3  3	s	syf
7	  1  1  1  1  1  1  1	s	syn
20	  3  3  3  2  3  3  3	s	wsyTh
20	  2  3  3  3  3  3  3	t	Samt
19	  3  3  3  1  3  3  3	t	Smt
18	  3  1  3  2  3  3  3	t	antSar
17	  3  1  2  2  3  3  3	t	ant\D-am
20	  3  3  3  2  3  3  3	t	ktab
19	  3  3  3  1  3  3  3	t	mtwaSl
19	  2  3  3  2  3  3  3	t	ratb
7	  1  1  1  1  1  1  1	t	ta\?g
22	  3  3  3  4  3  3  3	t	tab
21	  3  3  3  2  3  4  3	t	tab\9e
18	  3  3  1  2  3  3  3	t	tlyfwn
22	  5  3  3  2  3  3  3	t	xtm
